AÑO,DEPARTAMENTO,POBLACION TOTAL,POBLACION POBRE EXTREMO ,POBLACION POBRE NO EXTREMO,POBLACION NO POBRE,PORCENTAJE_POBREZA,PORCENTAJE POBREZA EXTREMA,CASOS REPORTADOS DE VIOLENCIA,RATIO_VIOLENCIA,PROMEDIO DE AÑOS DE ESTUDIO,RATIO_DE_AÑOS_DE_ESTUDIO_PROMEDIO,INGRESO REAL PROMEDIO PER CAPITA MENSUAL,RATIO_DE_INGRESO_PER_CAPITA,PORCENTAJE_DE_ACCESO_A_SERVICIOS_BASICOS,CLUSTER
2012,ÁNCASH,"1,160,615","62,624","255,771","842,220",0.274,0.054,1562,0.00135,9.7,0.882,1017,1.507,0.649,1
2013,ÁNCASH,"1,154,768","44,224","227,203","883,341",0.235,0.038,1992,0.00173,9.5,0.864,1060,1.413,0.69,1
2014,ÁNCASH,"1,164,507","61,834","216,978","885,695",0.239,0.053,2363,0.00203,9.5,0.864,1070,1.427,0.714,1
2015,ÁNCASH,"1,176,162","42,259","240,556","893,347",0.24,0.036,3296,0.0028,9.4,0.855,1003,1.337,0.681,1
2016,ÁNCASH,"1,175,975","51,792","203,146","921,037",0.217,0.044,3741,0.00318,9.6,0.873,1039,1.222,0.708,1
2017,ÁNCASH,"1,176,935","47,885","215,237","913,813",0.224,0.041,3883,0.0033,9.5,0.864,989,1.164,0.714,1
2012,AREQUIPA,"1,264,617","17,210","133,313","1,114,094",0.119,0.014,1623,0.00128,10.7,0.973,1438,2.13,0.754,1
2013,AREQUIPA,"1,280,771","17,713","98,223","1,164,835",0.091,0.014,1858,0.00145,10.8,0.982,1466,1.955,0.728,1
2014,AREQUIPA,"1,291,345","14,330","86,037","1,190,978",0.078,0.011,2371,0.00184,10.7,0.973,1471,1.961,0.725,1
2015,AREQUIPA,"1,295,858","10,384","96,356","1,189,118",0.082,0.008,2547,0.00197,10.9,0.991,1430,1.907,0.744,1
2016,AREQUIPA,"1,310,587","8,078","100,792","1,201,717",0.083,0.006,3629,0.00277,10.9,0.991,1426,1.678,0.751,1
2012,CALLAO,"974,721","5,740","176,636","792,345",0.187,0.006,1246,0.00128,10.8,0.982,1144,1.695,0.787,1
2013,CALLAO,"991,924",844,"132,698","858,382",0.135,0.001,1349,0.00136,10.8,0.982,1206,1.608,0.817,1
2014,CALLAO,"1,008,584",0,"137,674","870,910",0.137,0.0,1326,0.00131,10.8,0.982,1223,1.631,0.832,1
2015,CALLAO,"1,026,992","3,307","115,229","908,456",0.115,0.003,1388,0.00135,10.8,0.982,1223,1.631,0.845,1
2016,CALLAO,"1,032,745",0,"109,878","922,867",0.106,0.0,1651,0.0016,11.1,1.009,1270,1.494,0.866,1
2017,CALLAO,"1,042,328","7,932","158,751","875,645",0.16,0.008,2509,0.00241,11.1,1.009,1241,1.46,0.889,1
2018,CALLAO,"1,060,970","2,890","167,236","890,844",0.16,0.003,3278,0.00309,11.0,1.0,1190,1.253,0.93,1
2019,CALLAO,"1,069,414","5,702","147,699","916,013",0.143,0.005,4404,0.00412,11.2,1.018,1216,1.28,0.927,1
2020,CALLAO,"1,085,209","44,844","335,179","705,186",0.35,0.041,2804,0.00258,11.0,1.0,877,0.923,0.934,1
2021,CALLAO,"1,106,660","33,360","282,313","790,987",0.285,0.03,3597,0.00325,11.0,1.0,1047,1.102,0.922,1
2022,CALLAO,"1,111,897","45,521","297,149","769,227",0.308,0.041,3237,0.00291,11.0,1.0,1048,1.022,0.915,1
2012,CUSCO,"1,350,336","47,364","248,593","1,054,379",0.219,0.035,3179,0.00235,9.8,0.891,1016,1.505,0.535,1
2013,CUSCO,"1,358,585","36,745","218,392","1,103,448",0.188,0.027,4119,0.00303,9.7,0.882,1020,1.36,0.603,1
2014,CUSCO,"1,352,249","40,004","212,654","1,099,591",0.187,0.03,4088,0.00302,9.5,0.864,1020,1.36,0.58,1
2015,CUSCO,"1,359,076","29,821","209,318","1,119,937",0.176,0.022,4628,0.00341,9.5,0.864,955,1.273,0.613,1
2012,ICA,"763,914",427,"61,288","702,199",0.081,0.001,1417,0.00185,10.8,0.982,1186,1.757,0.742,1
2013,ICA,"773,005",252,"35,744","737,009",0.047,0.0,2196,0.00284,10.8,0.982,1196,1.595,0.752,1
2014,ICA,"779,565",387,"31,513","747,665",0.041,0.0,2237,0.00287,10.9,0.991,1237,1.649,0.764,1
2015,ICA,"789,054",322,"38,817","749,915",0.05,0.0,2358,0.00299,11.0,1.0,1228,1.637,0.776,1
2016,ICA,"798,736",386,"23,788","774,562",0.03,0.0,2527,0.00316,11.0,1.0,1262,1.485,0.797,1
2017,ICA,"802,749",287,"26,023","776,439",0.033,0.0,2593,0.00323,11.0,1.0,1243,1.462,0.835,1
